Rank,SectionName,Series,SourcePage,Nominal,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,Ix_cm4,Zx_cm3,UnitMass_kg_m,w_g_kN_m
65,H-700x300x13x24,MEDIUM,5,700x300,700.0,300.0,13.0,24.0,18.0,231.5,197000.0,5640.0,182.0,1.7848103
66,H-792x300x14x22,MEDIUM,5,800x300,792.0,300.0,14.0,22.0,18.0,239.5,248000.0,6270.0,188.0,1.8436502
67,H-400x408x21x21,WIDE,3,400x400,400.0,408.0,21.0,21.0,22.0,250.7,70900.0,3540.0,197.0,1.93191005
68,H-406x403x16x24,WIDE,3,400x400,406.0,403.0,16.0,24.0,22.0,254.9,78000.0,3840.0,200.0,1.96133
69,H-800x300x14x26,MEDIUM,5,800x300,800.0,300.0,14.0,26.0,18.0,263.5,286000.0,7160.0,207.0,2.0299765499999998
70,H-890x299x15x23,MEDIUM,5,900x300,890.0,299.0,15.0,23.0,18.0,266.9,339000.0,7610.0,210.0,2.0593964999999996
71,H-708x302x15x28,MEDIUM,5,700x300,708.0,302.0,15.0,28.0,18.0,269.7,233000.0,6590.0,212.0,2.0790097999999997
72,H-414x405x18x28,WIDE,3,400x400,414.0,405.0,18.0,28.0,22.0,295.4,92800.0,4480.0,232.0,2.2751428000000002
73,H-808x302x16x30,MEDIUM,5,800x300,808.0,302.0,16.0,30.0,18.0,303.7,334000.0,8270.0,238.0,2.3339827
74,H-900x300x16x28,MEDIUM,5,900x300,900.0,300.0,16.0,28.0,18.0,305.8,404000.0,8990.0,240.0,2.353596
75,H-816x303x17x34,MEDIUM,5,800x300,816.0,303.0,17.0,34.0,18.0,336.0,378000.0,9270.0,264.0,2.5889556
76,H-428x407x20x35,WIDE,3,400x400,428.0,407.0,20.0,35.0,22.0,360.7,119000.0,5570.0,283.0,2.77528195
77,H-912x302x18x34,MEDIUM,5,900x300,912.0,302.0,18.0,34.0,18.0,360.1,491000.0,10800.0,283.0,2.77528195
78,H-918x303x19x37,MEDIUM,5,900x300,918.0,303.0,19.0,37.0,18.0,387.4,535000.0,11700.0,304.0,2.9812216
79,H-458x417x30x50,WIDE,3,400x400,458.0,417.0,30.0,50.0,22.0,528.6,187000.0,8170.0,415.0,4.069759749999999
